scale_group,scale,instance_idx,variant,policy_ablation,satellites,tasks,num_prefs,hv,igd,igd_norm,hv_gap_to_full_percent,seconds,seconds_per_pref,avg_scheduled,points,nd_points,reference_hv
Medium,s8_n400,7,Full,final_pair_self_cross,8,400,50,0.22204739914938806,0.0,0.0,0.0,5.265792608261108,0.10531585216522217,61.56,50,12,0.22204739914938806
Medium,s8_n400,7,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.15396918589862418,0.08408194459961293,0.45544734573831064,30.659315763911525,4.76570200920105,0.095314040184021,51.84,50,8,0.22204739914938806
Medium,s8_n400,7,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.1867348751718591,0.05133769716407158,0.20436509379370638,15.903146856393285,5.093791484832764,0.10187582969665528,58.12,50,13,0.22204739914938806
Medium,s8_n400,7,w/o preference conditioning,final_pair_no_preference,8,400,50,0.16975834150583524,0.10909250719644703,0.42277722749792757,23.548601714705978,5.282454490661621,0.10564908981323243,64.0,50,1,0.22204739914938806
Medium,s8_n400,8,Full,final_pair_self_cross,8,400,50,0.21822486852208195,0.0,0.0,0.0,5.300657749176025,0.10601315498352051,62.92,50,16,0.21822486852208195
Medium,s8_n400,8,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.14962883892345563,0.09707429242231969,0.3533680025777345,31.433644599348288,4.878419399261475,0.09756838798522949,53.52,50,8,0.21822486852208195
Medium,s8_n400,8,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.17280166538948966,0.0757173042055756,0.2561376838779969,20.814861037707978,5.075547695159912,0.10151095390319824,58.72,50,6,0.21822486852208195
Medium,s8_n400,8,w/o preference conditioning,final_pair_no_preference,8,400,50,0.14687553266971562,0.09632087740963491,0.4050653152474909,32.69532768450107,5.119348526000977,0.10238697052001954,64.0,50,1,0.21822486852208195
Medium,s8_n400,9,Full,final_pair_self_cross,8,400,50,0.23735847062216517,0.0,0.0,0.0,5.260490417480469,0.10520980834960937,63.38,50,15,0.23735847062216517
Medium,s8_n400,9,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.1833384626382897,0.057688193950655574,0.27255993073924834,22.758828805341537,5.311623811721802,0.10623247623443603,54.6,50,14,0.23735847062216517
Medium,s8_n400,9,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.19343448104830346,0.05763970144244235,0.23030418802871364,18.50533897472794,5.57317852973938,0.11146357059478759,61.2,50,14,0.23735847062216517
Medium,s8_n400,9,w/o preference conditioning,final_pair_no_preference,8,400,50,0.15870465181296856,0.1023925380816033,0.38459031713664343,33.1371442540175,5.209328651428223,0.10418657302856445,63.0,50,1,0.23735847062216517
Medium,s10_n200,0,Full,final_pair_self_cross,10,200,50,0.45194349632778696,0.003844100799690238,0.011584458632148548,0.0,3.6082868576049805,0.0721657371520996,73.36,50,15,0.45277730069056565
Medium,s10_n200,0,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.40751847836021454,0.031832980049732125,0.1802289464504045,9.8297725995711,3.520538568496704,0.07041077136993408,66.34,50,11,0.45277730069056565
Medium,s10_n200,0,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.39392274746329514,0.06571388681560254,0.2194875628291004,12.838053724842267,3.4968998432159424,0.06993799686431884,69.5,50,10,0.45277730069056565
Medium,s10_n200,0,w/o preference conditioning,final_pair_no_preference,10,200,50,0.3493518523946326,0.10358391792996863,0.4803726636193575,22.700104054323276,3.5406713485717773,0.07081342697143554,71.0,50,1,0.45277730069056565
Medium,s10_n200,1,Full,final_pair_self_cross,10,200,50,0.48148764514771464,0.004799590536747825,0.015081982156768432,0.0,3.6960792541503906,0.07392158508300781,73.06,50,16,0.48158377125043283
Medium,s10_n200,1,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.368487909889259,0.07246740456115706,0.28518537820043793,23.468875348564485,3.4716761112213135,0.06943352222442627,61.66,50,11,0.48158377125043283
Medium,s10_n200,1,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.4080026146946658,0.04775211801428674,0.15758104046846924,15.262080178714555,3.4371421337127686,0.06874284267425537,69.22,50,14,0.48158377125043283
Medium,s10_n200,1,w/o preference conditioning,final_pair_no_preference,10,200,50,0.3365699745784671,0.14385149939444322,0.4199339216845822,30.09790012883685,3.5003716945648193,0.07000743389129639,73.0,50,1,0.48158377125043283
Medium,s10_n200,2,Full,final_pair_self_cross,10,200,50,0.4658633530409262,0.0,0.0,0.0,3.6323280334472656,0.07264656066894531,74.6,50,17,0.4658633530409262
Medium,s10_n200,2,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.38235402359234594,0.07194708398117224,0.3600089866333087,17.925713388587564,3.4513707160949707,0.06902741432189942,62.86,50,9,0.4658633530409262
Medium,s10_n200,2,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.40749154990759817,0.049457105140809574,0.1768740904968341,12.529812176103933,3.5304276943206787,0.07060855388641357,69.14,50,8,0.4658633530409262
Medium,s10_n200,2,w/o preference conditioning,final_pair_no_preference,10,200,50,0.360925722357566,0.10533899366165965,0.46312122551769114,22.52541007966802,3.4753756523132324,0.06950751304626465,75.0,50,1,0.4658633530409262
Medium,s10_n200,3,Full,final_pair_self_cross,10,200,50,0.47524260391627965,0.0,0.0,0.0,3.4537627696990967,0.06907525539398193,71.94,50,17,0.47524260391627965
Medium,s10_n200,3,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.38048426731184526,0.07042730284876637,0.3122007419214815,19.938939780139606,3.31184983253479,0.0662369966506958,63.94,50,11,0.47524260391627965
Medium,s10_n200,3,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.41075624254482035,0.057121073516577865,0.1783917862936431,13.5691457037003,3.36033034324646,0.0672066068649292,67.34,50,8,0.47524260391627965
Medium,s10_n200,3,w/o preference conditioning,final_pair_no_preference,10,200,50,0.3712313460945879,0.13393154330711365,0.5410313290115805,21.885928779233506,3.4845147132873535,0.06969029426574708,70.0,50,1,0.47524260391627965
Medium,s10_n200,4,Full,final_pair_self_cross,10,200,50,0.4497863583654872,0.0,0.0,0.0,3.623649835586548,0.07247299671173096,70.64,50,16,0.4497863583654872
Medium,s10_n200,4,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.3848400336783324,0.05458779003850762,0.2510315547343483,14.439371821583954,3.259709119796753,0.06519418239593505,62.76,50,13,0.4497863583654872
Medium,s10_n200,4,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.40356068252593874,0.04259557214400446,0.18797432222933613,10.277251628424535,3.47621750831604,0.0695243501663208,65.48,50,10,0.4497863583654872
