scale,instance_idx,pref_id,w1,w2,satellite_id,task_id,start,end,duration,priority,is_emergency,original_scheduled
s8_n400,9,2,0.5,0.5,6,148,272.4359331558431,329.4359331558431,57.0,7.8271309787453855,False,True
s8_n400,9,2,0.5,0.5,7,62,303.0,319.0,16.0,4.459982938933999,False,True
s8_n400,9,2,0.5,0.5,0,66,357.1950485229492,393.1950485229492,36.0,4.204260783859674,False,True
s8_n400,9,2,0.5,0.5,4,229,304.0,340.0,36.0,8.968169956163319,False,True
s8_n400,9,2,0.5,0.5,2,236,380.34341311454773,409.34341311454773,29.0,9.239392466265194,False,True
s8_n400,9,2,0.5,0.5,0,247,394.9515001296997,409.9515001296997,15.0,9.767674064402062,False,True
s8_n400,9,2,0.5,0.5,0,251,752.0,803.0,51.0,3.992791752555502,False,True
s8_n400,9,2,0.5,0.5,0,128,803.7451469421387,844.7451469421387,41.0,8.518343845438459,False,True
s8_n400,9,2,0.5,0.5,6,218,342.8486130136289,377.8486130136289,35.0,7.888731496572947,False,True
s8_n400,9,2,0.5,0.5,6,92,517.0,548.0,31.0,7.00130500118533,False,True
s8_n400,9,2,0.5,0.5,4,99,342.63812770843504,380.63812770843504,38.0,9.63971181018958,False,True
s8_n400,9,2,0.5,0.5,3,108,320.5496917724609,336.5496917724609,16.0,9.342698634643044,False,True
s8_n400,9,2,0.5,0.5,7,104,329.28178520202636,385.28178520202636,56.0,4.833307445141376,False,True
s8_n400,9,2,0.5,0.5,1,111,241.0,263.0,22.0,7.05280171392589,False,True
s8_n400,9,2,0.5,0.5,5,84,373.3967161178589,406.3967161178589,33.0,2.300292392952773,False,True
s8_n400,9,2,0.5,0.5,4,224,381.9708890914917,413.9708890914917,32.0,3.2769396315346824,False,True
s8_n400,9,2,0.5,0.5,6,208,555.9865846303408,595.9865846303408,40.0,9.055130491557708,False,True
s8_n400,9,2,0.5,0.5,0,151,845.68920211792,865.68920211792,20.0,3.8888162812325224,False,True
s8_n400,9,2,0.5,0.5,4,6,423.13289432525636,457.13289432525636,34.0,2.5810841539548743,False,True
s8_n400,9,2,0.5,0.5,3,152,339.31874122619627,379.31874122619627,40.0,4.641040552662293,False,True
s8_n400,9,2,0.5,0.5,4,9,461.0058439254761,481.0058439254761,20.0,6.838369365579364,False,True
s8_n400,9,2,0.5,0.5,4,272,484.9742497444153,544.9742497444154,60.00000000000006,6.711019072442262,False,True
s8_n400,9,2,0.5,0.5,7,265,1568.0,1601.0,33.0,3.333392031644234,False,True
