scale,instance_idx,seed,method,satellites,tasks,hv,igd,igd_norm,coverage,seconds,points,nd_points,avg_scheduled,reference_hv
s3_n100,5,20260701,NSGA-II,3,100,0.20939485580813416,0.014663945896778803,0.037120351714248656,0.17391304347826086,28.96761441230774,15,15,,0.20939485580813416
s3_n100,5,20260701,KDPCS,3,100,0.22143836723607424,0.009255010456527291,0.02342815812903461,0.13043478260869565,0.11304235458374023,50,9,24.36,0.20939485580813416
s3_n100,5,20260701,SPEA2,3,100,0.23082133545991929,0.02743391128633463,0.06944627612612356,0.08695652173913043,31.688769340515137,9,9,,0.20939485580813416
s3_n100,6,20260701,IBEA,3,100,0.22214419964563664,0.006167996170323,0.019062121263867044,0.4090909090909091,40.23448061943054,15,15,,0.1999584416719111
s3_n100,6,20260701,MOEA/D,3,100,0.19510283304929363,0.019441701028715376,0.0600843535487821,0.22727272727272727,17.401365518569946,10,10,,0.1999584416719111
s3_n100,6,20260701,MONP,3,100,0.1999584416719111,0.04421113637575007,0.13663400876654214,0.045454545454545456,3.310102939605713,50,7,21.34,0.1999584416719111
s3_n100,6,20260701,NSGA-II,3,100,0.22266106055243778,0.004098302167825917,0.012665755740081107,0.2727272727272727,29.98141574859619,22,22,,0.1999584416719111
s3_n100,6,20260701,KDPCS,3,100,0.1847819975930131,0.03854532267509933,0.11912387665265857,0.0,0.10900092124938965,50,10,23.1,0.1999584416719111
s3_n100,6,20260701,SPEA2,3,100,0.23169487171530612,0.011632014610745213,0.035948607445631255,0.045454545454545456,33.59132647514343,15,15,,0.1999584416719111
s3_n100,7,20260701,IBEA,3,100,0.19636739651933605,0.012448193727876773,0.03433776400228768,0.125,46.24993300437927,17,17,,0.2013461198851926
s3_n100,7,20260701,MOEA/D,3,100,0.2013461198851926,0.020732247890052014,0.057188942496234574,0.625,19.939393043518066,11,11,,0.2013461198851926
s3_n100,7,20260701,MONP,3,100,0.19255502882975525,0.03001462180531842,0.08279393964289886,0.0,2.6508562564849854,50,6,21.86,0.2013461198851926
s3_n100,7,20260701,NSGA-II,3,100,0.21030335444771933,0.020687101382380148,0.05706440795252062,0.0,25.74884343147278,12,12,,0.2013461198851926
s3_n100,7,20260701,KDPCS,3,100,0.20440285947614065,0.01385703149029264,0.03822397750931336,0.25,0.09999918937683105,50,9,22.88,0.2013461198851926
s3_n100,7,20260701,SPEA2,3,100,0.18072829736453366,0.03351135555207711,0.09243951721020065,0.0,30.575737476348877,20,20,,0.2013461198851926
s3_n100,8,20260701,IBEA,3,100,0.21485173102061117,0.004024022701254416,0.0117053924329788,0.5185185185185185,52.91065549850464,20,20,,0.1872598779922919
s3_n100,8,20260701,MOEA/D,3,100,0.22747226602168422,0.01711072794797099,0.04977302572932862,0.25925925925925924,23.094942092895508,10,10,,0.1872598779922919
