num_prefs,scale,instance_idx,seed,front_type,point_idx,f1,f2
100,s3_n100,0,20260701,all,17,0.3392020540973991,0.7938956641484113
100,s3_n100,0,20260701,all,18,0.33920205409739906,0.7938956641484113
100,s3_n100,0,20260701,all,19,0.33920205409739906,0.7938956641484113
100,s3_n100,0,20260701,all,20,0.33489606134698463,0.7938956641484113
100,s3_n100,0,20260701,all,21,0.3274557357297535,0.8132159602897522
100,s3_n100,0,20260701,all,22,0.3274557357297535,0.8132159602897522
100,s3_n100,0,20260701,all,23,0.3274557357297535,0.8132159602897522
100,s3_n100,0,20260701,all,24,0.33376844862329635,0.8132159602897522
100,s3_n100,0,20260701,all,25,0.33376844862329635,0.8132159602897522
100,s3_n100,0,20260701,all,26,0.33376844862329635,0.8132159602897522
100,s3_n100,0,20260701,all,27,0.3271437143949846,0.8372712678552182
100,s3_n100,0,20260701,all,28,0.3271437143949846,0.8372712678552182
100,s3_n100,0,20260701,all,29,0.3271437143949846,0.8372712678552182
100,s3_n100,0,20260701,all,30,0.3271437143949846,0.8372712678552182
100,s3_n100,0,20260701,all,31,0.3173715520337335,0.8542420636698618
100,s3_n100,0,20260701,all,32,0.3173715520337335,0.8542420636698618
100,s3_n100,0,20260701,all,33,0.3173715520337335,0.8542420636698618
100,s3_n100,0,20260701,all,34,0.3173715520337335,0.8542420636698618
100,s3_n100,0,20260701,all,35,0.3173715520337335,0.8542420636698618
100,s3_n100,0,20260701,all,36,0.3173715520337335,0.8542420636698618
100,s3_n100,0,20260701,all,37,0.3084660550337359,0.8872033867994895
100,s3_n100,0,20260701,all,38,0.3084660550337359,0.8872033867994895
100,s3_n100,0,20260701,all,39,0.3084660550337359,0.8872033867994895
100,s3_n100,0,20260701,all,40,0.307959768674201,0.8872033867994895
100,s3_n100,0,20260701,all,41,0.307959768674201,0.8872033867994895
100,s3_n100,0,20260701,all,42,0.307959768674201,0.8872033867994895
100,s3_n100,0,20260701,all,43,0.30795976867420105,0.8872033867994895
100,s3_n100,0,20260701,all,44,0.3109136374618391,0.8872033867994895
100,s3_n100,0,20260701,all,45,0.3109136374618391,0.8872033867994895
100,s3_n100,0,20260701,all,46,0.3109136374618391,0.8872033867994895
100,s3_n100,0,20260701,all,47,0.3109136374618391,0.8872033867994895
100,s3_n100,0,20260701,all,48,0.31091363746183903,0.8872033867994895
100,s3_n100,0,20260701,all,49,0.31091363746183903,0.8872033867994895
100,s3_n100,0,20260701,all,50,0.31091363746183903,0.8872033867994895
100,s3_n100,0,20260701,all,51,0.29881116608998326,0.9043049840414027
100,s3_n100,0,20260701,all,52,0.30137462672500415,0.9043049840414027
100,s3_n100,0,20260701,all,53,0.2845961911472062,0.9043049840414027
100,s3_n100,0,20260701,all,54,0.28459619114720625,0.9043049840414028
100,s3_n100,0,20260701,all,55,0.2845961911472062,0.9043049840414026
100,s3_n100,0,20260701,all,56,0.2845961911472062,0.9043049840414027
100,s3_n100,0,20260701,all,57,0.2845961911472062,0.9043049840414027
100,s3_n100,0,20260701,all,58,0.2958404811070381,0.9043049840414027
100,s3_n100,0,20260701,all,59,0.2958404811070381,0.9043049840414027
100,s3_n100,0,20260701,all,60,0.2958404811070381,0.9043049840414027
100,s3_n100,0,20260701,all,61,0.29335765916541257,0.9043049840414027
100,s3_n100,0,20260701,all,62,0.29335765916541257,0.9043049840414027
100,s3_n100,0,20260701,all,63,0.29335765916541257,0.9043049840414027
100,s3_n100,0,20260701,all,64,0.29149770395687175,0.9043049840414027
100,s3_n100,0,20260701,all,65,0.29149770395687175,0.9043049840414027
100,s3_n100,0,20260701,all,66,0.29149770395687175,0.9043049840414027
100,s3_n100,0,20260701,all,67,0.29149770395687175,0.9043049840414027
