num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,normalized_hv,igd_to_k200,nd_points,seconds,seconds_per_pref,avg_scheduled
100,s8_n200,medium,3,20260704,8,200,0.39966192343707485,99.83247469512182,0.003656359465315811,20,1.8863928318023682,0.018863928318023682,60.16
150,s8_n200,medium,3,20260704,8,200,0.4028197882158636,100.6212850298864,0.002741495606293522,20,2.8159310817718506,0.018772873878479004,60.2
200,s8_n200,medium,3,20260704,8,200,0.4003325818152876,100.0,0.0,22,3.6793572902679443,0.01839678645133972,60.225
20,s8_n200,medium,4,20260705,8,200,0.3813132552142412,97.98630948765617,0.012048296251077395,14,0.18600082397460938,0.009300041198730468,58.85
50,s8_n200,medium,4,20260705,8,200,0.3865803931609486,99.33980927268273,0.006720806849456044,21,0.4010887145996094,0.008021774291992188,59.2
100,s8_n200,medium,4,20260705,8,200,0.3867227266471418,99.37638479907179,0.002059963312154814,23,1.7952749729156494,0.017952749729156493,59.06
150,s8_n200,medium,4,20260705,8,200,0.38839447812806105,99.80597583939313,0.0012785565865006405,23,2.7245566844940186,0.018163711229960123,59.0
200,s8_n200,medium,4,20260705,8,200,0.38914952222205806,100.0,0.0,22,3.630100965499878,0.01815050482749939,59.005
20,s8_n200,medium,5,20260706,8,200,0.35077932033534265,97.82516766191738,0.018393397681235428,8,0.18199944496154785,0.009099972248077393,58.95
50,s8_n200,medium,5,20260706,8,200,0.357838167316877,99.79373550339751,0.00458183967778383,16,0.3920278549194336,0.007840557098388672,58.94
100,s8_n200,medium,5,20260706,8,200,0.358888772499058,100.0867277698603,0.003082761900207744,16,1.8542747497558594,0.018542747497558593,58.97
150,s8_n200,medium,5,20260706,8,200,0.35929667743992694,100.20048410302296,0.0018357295248201185,17,2.7168161869049072,0.01811210791269938,59.04666666666667
200,s8_n200,medium,5,20260706,8,200,0.35857778598206125,100.0,0.0,16,3.662108898162842,0.01831054449081421,59.02
20,s8_n200,medium,6,20260707,8,200,0.39557210052294334,99.16458861007315,0.01399824316675114,13,0.18387579917907715,0.009193789958953858,58.05
50,s8_n200,medium,6,20260707,8,200,0.3969616271523159,99.51292418880156,0.00430752806880782,19,0.4069976806640625,0.00813995361328125,57.84
100,s8_n200,medium,6,20260707,8,200,0.3986545892292587,99.93732694033675,0.0019090459057262052,19,1.835967779159546,0.01835967779159546,57.77
150,s8_n200,medium,6,20260707,8,200,0.3976621695084029,99.68854070587507,0.0023844624727725845,20,2.758476972579956,0.018389846483866375,57.74666666666667
200,s8_n200,medium,6,20260707,8,200,0.3989045949440475,100.0,0.0,20,3.6328012943267822,0.018164006471633912,57.76
20,s8_n200,medium,7,20260708,8,200,0.3824897410558399,97.07601392636242,0.009900875620988302,10,0.17600059509277344,0.008800029754638672,55.35
50,s8_n200,medium,7,20260708,8,200,0.39361811317010553,99.90039819183345,0.004123751196626496,15,0.37363648414611816,0.007472729682922364,55.12
100,s8_n200,medium,7,20260708,8,200,0.39362381357447945,99.90184495621686,0.0018651234370178499,17,1.838829755783081,0.01838829755783081,55.17
150,s8_n200,medium,7,20260708,8,200,0.39393295235985315,99.98030447502977,0.0013336987253629302,19,2.732666254043579,0.018217775026957195,55.18666666666667
200,s8_n200,medium,7,20260708,8,200,0.3940105548070605,100.0,0.0,20,3.6410369873046875,0.018205184936523438,55.19
20,s8_n200,medium,8,20260709,8,200,0.41234155361729774,98.83272865718548,0.011949649615921392,8,0.18899989128112793,0.009449994564056397,60.8
50,s8_n200,medium,8,20260709,8,200,0.4134313441853181,99.09393680988666,0.005687199088158369,13,0.4080016613006592,0.008160033226013184,60.56
100,s8_n200,medium,8,20260709,8,200,0.4171902983285026,99.9949075988093,0.0010400475201257295,20,1.8503193855285645,0.018503193855285646,60.61
150,s8_n200,medium,8,20260709,8,200,0.4172829636121863,100.0171182219151,0.0006030910539800013,20,2.798643112182617,0.018657620747884116,60.56
200,s8_n200,medium,8,20260709,8,200,0.4172115444141581,99.99999999999999,0.0,21,3.698101758956909,0.018490508794784546,60.555
20,s8_n200,medium,9,20260710,8,200,0.41111870215052365,98.00142043563082,0.011665874852137244,12,0.18860721588134766,0.009430360794067384,59.75
50,s8_n200,medium,9,20260710,8,200,0.41264501855546953,98.36525982054924,0.005795856531936652,17,0.4019947052001953,0.008039894104003907,59.46
100,s8_n200,medium,9,20260710,8,200,0.4171523694573309,99.43971055332692,0.0019367527370902837,19,1.8171932697296143,0.018171932697296143,59.48
150,s8_n200,medium,9,20260710,8,200,0.41809614772212017,99.6646859923955,0.0020532391256856213,21,2.7630937099456787,0.01842062473297119,59.48
