num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,nd_points,seconds,seconds_per_pref,avg_scheduled
50,s8_n200,medium,9,20260710,8,200,0.41264501855546953,17,0.4050004482269287,0.008100008964538575,59.46
100,s8_n200,medium,9,20260710,8,200,0.4171523694573309,19,0.841217041015625,0.00841217041015625,59.48
150,s8_n200,medium,9,20260710,8,200,0.41809614772212017,21,1.2851536273956299,0.0085676908493042,59.48
200,s8_n200,medium,9,20260710,8,200,0.4195027993707031,22,1.7262263298034668,0.008631131649017333,59.5
20,s10_n300,medium,0,20260701,10,300,0.3350125702443659,9,0.31905364990234375,0.015952682495117186,78.15
50,s10_n300,medium,0,20260701,10,300,0.3390828428936701,13,0.809464693069458,0.016189293861389162,78.32
100,s10_n300,medium,0,20260701,10,300,0.33637543867995007,24,1.5671944618225098,0.015671944618225096,78.08
150,s10_n300,medium,0,20260701,10,300,0.34045362585139843,23,2.407951593399048,0.01605301062266032,78.13333333333334
200,s10_n300,medium,0,20260701,10,300,0.3428106806182797,24,3.1568424701690674,0.015784212350845338,78.14
20,s10_n300,medium,1,20260702,10,300,0.3296318674369835,10,0.30474114418029785,0.015237057209014892,72.15
50,s10_n300,medium,1,20260702,10,300,0.34242901710908796,16,0.6975343227386475,0.013950686454772949,72.74
100,s10_n300,medium,1,20260702,10,300,0.34214305288670155,24,1.5003430843353271,0.01500343084335327,72.72
150,s10_n300,medium,1,20260702,10,300,0.3446842695173037,24,2.2324910163879395,0.014883273442586263,72.76666666666667
200,s10_n300,medium,1,20260702,10,300,0.34510668910627773,23,2.993360996246338,0.01496680498123169,72.76
20,s10_n300,medium,2,20260703,10,300,0.3299780220593011,14,0.3105459213256836,0.015527296066284179,73.95
50,s10_n300,medium,2,20260703,10,300,0.3314885301134237,19,0.7247428894042969,0.014494857788085937,73.92
100,s10_n300,medium,2,20260703,10,300,0.33343661454036183,17,1.4552597999572754,0.014552597999572753,74.0
150,s10_n300,medium,2,20260703,10,300,0.33546745846167714,17,2.241208076477051,0.014941387176513672,74.04
200,s10_n300,medium,2,20260703,10,300,0.33569090834628124,20,3.089931011199951,0.015449655055999757,74.02
20,s10_n300,medium,3,20260704,10,300,0.3305430341026674,12,0.311995267868042,0.0155997633934021,74.55
50,s10_n300,medium,3,20260704,10,300,0.3328535437256829,18,0.7404711246490479,0.014809422492980957,74.28
100,s10_n300,medium,3,20260704,10,300,0.3338599355967874,25,1.4917221069335938,0.014917221069335938,74.27
150,s10_n300,medium,3,20260704,10,300,0.334101298140826,28,2.325512170791626,0.015503414471944173,74.23333333333333
200,s10_n300,medium,3,20260704,10,300,0.334886541261414,34,3.0703389644622803,0.015351694822311402,74.215
20,s10_n300,medium,4,20260705,10,300,0.33801234404890695,11,0.3209960460662842,0.01604980230331421,77.1
50,s10_n300,medium,4,20260705,10,300,0.34131490779607665,22,0.7110586166381836,0.014221172332763671,77.34
100,s10_n300,medium,4,20260705,10,300,0.3424667398799911,26,1.5787827968597412,0.01578782796859741,77.21
150,s10_n300,medium,4,20260705,10,300,0.34349281816121424,27,2.3635241985321045,0.01575682799021403,77.19333333333333
