inst_idx,scale,instance_idx,seed,file,method,front_type,point_idx,f1,f2
,s3_n200,0,20260701,,KDPCS,union_ref_nd,0,0.1068253635098481,1.0
,s3_n200,0,20260701,,KDPCS,union_ref_nd,1,0.12081666859371436,0.9867603160919114
,s3_n200,0,20260701,,KDPCS,union_ref_nd,2,0.14077473156344647,0.9475794925885271
,s3_n200,0,20260701,,KDPCS,union_ref_nd,3,0.15262537628651002,0.9343398086804385
,s3_n200,0,20260701,,KDPCS,union_ref_nd,4,0.1546711860183376,0.8805971407695278
,s3_n200,0,20260701,,KDPCS,union_ref_nd,5,0.1731351722208457,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,union_ref_nd,6,0.18045458970962383,0.8178045267263004
,s3_n200,0,20260701,,KDPCS,union_ref_nd,7,0.1883580572339293,0.8174569236978517
,s3_n200,0,20260701,,KDPCS,union_ref_nd,8,0.19615716665305935,0.7606079304762716
,s3_n200,0,20260701,,KDPCS,union_ref_nd,9,0.1991513356389373,0.6916849877144623
,s3_n200,0,20260701,,KDPCS,union_ref_nd,10,0.20362822839734032,0.5986243990146936
,s3_n200,0,20260701,,KDPCS,union_ref_nd,11,0.21161173413083487,0.3329670918222219
,s5_n100,0,20260701,,KDPCS,all,0,0.47915743805130095,0.5002487130619309
,s5_n100,0,20260701,,KDPCS,all,1,0.47915743805130095,0.5002487130619309
,s5_n100,0,20260701,,KDPCS,all,2,0.47915743805130095,0.5002487130619309
,s5_n100,0,20260701,,KDPCS,all,3,0.4697697546387542,0.563224788340898
,s5_n100,0,20260701,,KDPCS,all,4,0.46221803811731865,0.6330370914221449
,s5_n100,0,20260701,,KDPCS,all,5,0.46221803811731865,0.6330370914221449
,s5_n100,0,20260701,,KDPCS,all,6,0.46221803811731865,0.6330370914221449
,s5_n100,0,20260701,,KDPCS,all,7,0.46221803811731865,0.6330370914221449
,s5_n100,0,20260701,,KDPCS,all,8,0.4513487249151674,0.7068558825189241
,s5_n100,0,20260701,,KDPCS,all,9,0.4645299936723192,0.7219262161816556
,s5_n100,0,20260701,,KDPCS,all,10,0.45088431287071085,0.765649826929679
,s5_n100,0,20260701,,KDPCS,all,11,0.4536826784450294,0.7838956051190661
,s5_n100,0,20260701,,KDPCS,all,12,0.43325488470048595,0.8065389078523992
,s5_n100,0,20260701,,KDPCS,all,13,0.43325488470048595,0.8065389078523992
,s5_n100,0,20260701,,KDPCS,all,14,0.4367143016018422,0.8065389078523992
,s5_n100,0,20260701,,KDPCS,all,15,0.4367143016018422,0.8065389078523992
,s5_n100,0,20260701,,KDPCS,all,16,0.4407450985616996,0.8193360197387131
,s5_n100,0,20260701,,KDPCS,all,17,0.42523211950952594,0.8689238734829579
,s5_n100,0,20260701,,KDPCS,all,18,0.3956408081928183,0.8934079876466697
,s5_n100,0,20260701,,KDPCS,all,19,0.39553292442199695,0.8934079876466696
,s5_n100,0,20260701,,KDPCS,all,20,0.3974748066469254,0.8934079876466696
,s5_n100,0,20260701,,KDPCS,all,21,0.3974748066469254,0.8934079876466696
,s5_n100,0,20260701,,KDPCS,all,22,0.3801078133728324,0.926557312654871
,s5_n100,0,20260701,,KDPCS,all,23,0.3510395498508214,0.9516588119432173
,s5_n100,0,20260701,,KDPCS,all,24,0.36553266210772306,0.9516588119432173
,s5_n100,0,20260701,,KDPCS,all,25,0.35340066926204944,0.9594549390423607
,s5_n100,0,20260701,,KDPCS,all,26,0.35275960039489174,0.9594549390423609
,s5_n100,0,20260701,,KDPCS,all,27,0.35275960039489174,0.9594549390423609
,s5_n100,0,20260701,,KDPCS,all,28,0.35654815303299064,0.9594549390423609
,s5_n100,0,20260701,,KDPCS,all,29,0.35654815303299064,0.9594549390423609
,s5_n100,0,20260701,,KDPCS,all,30,0.3379121897249257,0.9773143046182169
,s5_n100,0,20260701,,KDPCS,all,31,0.3379121897249257,0.9773143046182169
,s5_n100,0,20260701,,KDPCS,all,32,0.3379121897249257,0.9773143046182169
,s5_n100,0,20260701,,KDPCS,all,33,0.3379121897249257,0.9773143046182169
,s5_n100,0,20260701,,KDPCS,all,34,0.33252031506078894,0.9773143046182169
,s5_n100,0,20260701,,KDPCS,all,35,0.3142122627347191,0.9908668924101878
,s5_n100,0,20260701,,KDPCS,all,36,0.29324183402997694,1.0000000000000002
,s5_n100,0,20260701,,KDPCS,all,37,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,38,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,39,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,40,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,41,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,42,0.29324183402997694,1.0000000000000002
,s5_n100,0,20260701,,KDPCS,all,43,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,44,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,45,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,46,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,47,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,48,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,all,49,0.29324183402997683,0.9999999999999998
,s5_n100,0,20260701,,KDPCS,nd,0,0.29324183402997694,1.0000000000000002
,s5_n100,0,20260701,,KDPCS,nd,1,0.3142122627347191,0.9908668924101878
,s5_n100,0,20260701,,KDPCS,nd,2,0.3379121897249257,0.9773143046182169
,s5_n100,0,20260701,,KDPCS,nd,3,0.35654815303299064,0.9594549390423609
,s5_n100,0,20260701,,KDPCS,nd,4,0.36553266210772306,0.9516588119432173
,s5_n100,0,20260701,,KDPCS,nd,5,0.3801078133728324,0.926557312654871
,s5_n100,0,20260701,,KDPCS,nd,6,0.3974748066469254,0.8934079876466696
,s5_n100,0,20260701,,KDPCS,nd,7,0.42523211950952594,0.8689238734829579
,s5_n100,0,20260701,,KDPCS,nd,8,0.4407450985616996,0.8193360197387131
